OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice,ISO Dates
ORD200352,"Thursday, August 31, 2023",C26637,Chair,5,173.96,995 Main St,Debit Card,Pending,TRK59546992,8,WINTER15,Instagram,869.8,31-08-2023
ORD200360,"Thursday, June 6, 2024",C53810,Phone,4,589.57,779 Main St,Cash,Pending,TRK34630612,8,NoCoupon,Instagram,2358.28,06-06-2024
ORD200367,"Thursday, April 25, 2024",C13108,Laptop,5,658.77,712 Main St,Gift Card,Pending,TRK82284400,10,FREESHIP,Instagram,3293.85,25-04-2024
ORD200373,"Monday, January 2, 2023",C60178,Laptop,3,341.15,969 Main St,Cash,Pending,TRK84505143,4,FREESHIP,Instagram,1023.45,02-01-2023
ORD200374,"Monday, September 16, 2024",C20286,Monitor,1,571.9,129 Main St,Gift Card,Pending,TRK67648338,1,WINTER15,Instagram,571.9,16-09-2024
ORD200377,"Monday, July 22, 2024",C24884,Monitor,1,260.26,625 Main St,Online,Pending,TRK44538419,5,WINTER15,Instagram,260.26,22-07-2024
ORD200378,"Thursday, February 1, 2024",C62666,Chair,5,64.5,148 Main St,Credit Card,Pending,TRK91029390,8,WINTER15,Instagram,322.5,01-02-2024
ORD200380,"Saturday, April 20, 2024",C35355,Printer,4,331.9,127 Main St,Cash,Pending,TRK52935059,5,SAVE10,Instagram,1327.6,20-04-2024
ORD200419,"Wednesday, April 17, 2024",C70999,Tablet,2,216.66,885 Main St,Debit Card,Pending,TRK75644156,6,FREESHIP,Instagram,433.32,17-04-2024
ORD200427,"Wednesday, December 18, 2024",C25406,Desk,1,161.24,379 Main St,Credit Card,Pending,TRK70952564,3,WINTER15,Instagram,161.24,18-12-2024
ORD200438,"Friday, January 3, 2025",C77800,Tablet,3,459.34,436 Main St,Gift Card,Pending,TRK27439574,3,SAVE10,Instagram,1378.02,03-01-2025
ORD200442,"Monday, May 6, 2024",C72588,Chair,5,314.94,661 Main St,Cash,Pending,TRK43410829,8,SAVE10,Instagram,1574.7,06-05-2024
ORD200448,"Monday, September 4, 2023",C16776,Laptop,2,160,854 Main St,Cash,Pending,TRK12860600,4,SAVE10,Instagram,320,04-09-2023
ORD200449,"Monday, August 26, 2024",C91518,Tablet,3,253.05,286 Main St,Online,Pending,TRK48688724,3,NoCoupon,Instagram,759.15,26-08-2024
ORD200482,"Sunday, March 2, 2025",C35852,Monitor,3,381.41,989 Main St,Online,Pending,TRK22302049,6,NoCoupon,Instagram,1144.23,02-03-2025
ORD200512,"Friday, September 27, 2024",C14114,Desk,3,568.02,856 Main St,Online,Pending,TRK63290700,3,FREESHIP,Instagram,1704.06,27-09-2024
ORD200541,"Monday, August 7, 2023",C69009,Printer,5,456.06,879 Main St,Cash,Pending,TRK61295842,10,NoCoupon,Instagram,2280.3,07-08-2023
ORD200570,"Friday, December 27, 2024",C63727,Desk,2,362.14,122 Main St,Debit Card,Pending,TRK13611021,2,SAVE10,Instagram,724.28,27-12-2024
ORD200683,"Sunday, May 18, 2025",C91591,Desk,4,652.48,887 Main St,Cash,Pending,TRK23554043,5,FREESHIP,Instagram,2609.92,18-05-2025
ORD200708,"Tuesday, March 4, 2025",C25268,Printer,1,665.11,788 Main St,Cash,Pending,TRK20481215,3,FREESHIP,Instagram,665.11,04-03-2025
ORD200720,"Thursday, September 21, 2023",C12740,Desk,5,128.95,305 Main St,Cash,Pending,TRK98506513,10,FREESHIP,Instagram,644.75,21-09-2023
ORD200722,"Friday, November 15, 2024",C58156,Printer,1,95.1,516 Main St,Gift Card,Pending,TRK49719458,1,WINTER15,Instagram,95.1,15-11-2024
ORD200737,"Wednesday, January 3, 2024",C91029,Phone,4,532.87,972 Main St,Cash,Pending,TRK25501930,9,FREESHIP,Instagram,2131.48,03-01-2024
ORD200749,"Sunday, April 13, 2025",C17551,Laptop,1,518.39,997 Main St,Debit Card,Pending,TRK88797170,4,FREESHIP,Instagram,518.39,13-04-2025
ORD200785,"Saturday, July 29, 2023",C45862,Chair,1,176.1,342 Main St,Credit Card,Pending,TRK53089983,1,SAVE10,Instagram,176.1,29-07-2023
ORD200788,"Thursday, November 2, 2023",C47307,Chair,2,601.43,761 Main St,Online,Pending,TRK43516112,5,FREESHIP,Instagram,1202.86,02-11-2023
ORD200795,"Wednesday, November 20, 2024",C95667,Laptop,4,115.77,586 Main St,Online,Pending,TRK41266666,7,SAVE10,Instagram,463.08,20-11-2024
ORD200806,"Friday, September 1, 2023",C55819,Chair,5,253.75,740 Main St,Online,Pending,TRK13775054,9,WINTER15,Instagram,1268.75,01-09-2023
ORD200814,"Wednesday, December 11, 2024",C50732,Chair,4,147.51,979 Main St,Debit Card,Pending,TRK21082461,4,WINTER15,Instagram,590.04,11-12-2024
ORD200881,"Tuesday, January 3, 2023",C59579,Tablet,2,448.85,386 Main St,Credit Card,Pending,TRK48000034,6,NoCoupon,Instagram,897.7,03-01-2023
ORD200888,"Tuesday, July 23, 2024",C14427,Laptop,2,266.95,833 Main St,Credit Card,Pending,TRK58024529,3,NoCoupon,Instagram,533.9,23-07-2024
ORD200899,"Wednesday, April 23, 2025",C99904,Printer,2,323.37,552 Main St,Online,Pending,TRK83843411,3,SAVE10,Instagram,646.74,23-04-2025
ORD200900,"Friday, February 7, 2025",C52342,Laptop,5,73.83,991 Main St,Debit Card,Pending,TRK67342586,9,NoCoupon,Instagram,369.15,07-02-2025
ORD200922,"Monday, June 17, 2024",C81857,Desk,2,563.82,487 Main St,Credit Card,Pending,TRK79737732,3,NoCoupon,Instagram,1127.64,17-06-2024
ORD200987,"Thursday, June 5, 2025",C67387,Phone,5,283.73,436 Main St,Gift Card,Pending,TRK54120003,8,FREESHIP,Instagram,1418.65,05-06-2025
ORD200989,"Thursday, March 23, 2023",C49995,Laptop,4,246.11,559 Main St,Credit Card,Pending,TRK33212013,4,SAVE10,Instagram,984.44,23-03-2023
ORD201053,"Sunday, September 15, 2024",C32798,Phone,2,496.62,679 Main St,Online,Pending,TRK37375451,2,SAVE10,Instagram,993.24,15-09-2024
ORD201084,"Sunday, January 8, 2023",C45175,Phone,1,70.82,128 Main St,Gift Card,Pending,TRK41792296,1,WINTER15,Instagram,70.82,08-01-2023
ORD201086,"Saturday, December 23, 2023",C46967,Tablet,2,513.42,401 Main St,Online,Pending,TRK91439791,5,WINTER15,Instagram,1026.84,23-12-2023
ORD201129,"Sunday, June 11, 2023",C43911,Chair,4,418.71,239 Main St,Cash,Pending,TRK37495481,8,FREESHIP,Instagram,1674.84,11-06-2023
ORD201137,"Monday, July 29, 2024",C48577,Printer,4,410.21,841 Main St,Cash,Pending,TRK59911645,5,WINTER15,Instagram,1640.84,29-07-2024
ORD201138,"Monday, December 18, 2023",C13100,Desk,4,294.41,188 Main St,Debit Card,Pending,TRK55565668,4,NoCoupon,Instagram,1177.64,18-12-2023
ORD201146,"Thursday, October 3, 2024",C36383,Monitor,5,421.44,286 Main St,Cash,Pending,TRK93336357,5,SAVE10,Instagram,2107.2,03-10-2024
ORD201149,"Thursday, July 25, 2024",C27305,Chair,2,695.29,957 Main St,Credit Card,Pending,TRK28789916,6,FREESHIP,Instagram,1390.58,25-07-2024
ORD201154,"Wednesday, June 11, 2025",C53631,Monitor,3,198.63,593 Main St,Cash,Pending,TRK67589167,8,SAVE10,Instagram,595.89,11-06-2025
ORD201172,"Tuesday, February 4, 2025",C28828,Desk,3,131.96,745 Main St,Credit Card,Pending,TRK32550359,8,NoCoupon,Instagram,395.88,04-02-2025
ORD201181,"Thursday, July 27, 2023",C70246,Desk,3,158.74,293 Main St,Online,Pending,TRK45708320,7,FREESHIP,Instagram,476.22,27-07-2023
ORD201191,"Monday, February 10, 2025",C44148,Desk,4,376.43,809 Main St,Gift Card,Pending,TRK67872709,5,WINTER15,Instagram,1505.72,10-02-2025
ORD201192,"Wednesday, February 28, 2024",C72007,Chair,3,432.85,999 Main St,Online,Pending,TRK16240916,4,NoCoupon,Instagram,1298.55,28-02-2024
ORD200000,"Wednesday, January 4, 2023",C72649,Monitor,5,570.62,928 Main St,Debit Card,Shipped,TRK37947903,7,SAVE10,Instagram,2853.1,04-01-2023
ORD200005,"Monday, October 23, 2023",C37249,Phone,2,245.86,934 Main St,Credit Card,Shipped,TRK72976927,4,SAVE10,Instagram,491.72,23-10-2023
ORD200010,"Friday, December 29, 2023",C43443,Tablet,5,625.97,333 Main St,Credit Card,Returned,TRK98859248,9,WINTER15,Instagram,3129.85,29-12-2023
ORD200037,"Monday, October 14, 2024",C10054,Laptop,2,76.74,409 Main St,Cash,Returned,TRK94005261,7,SAVE10,Instagram,153.48,14-10-2024
ORD200040,"Sunday, August 20, 2023",C84766,Desk,2,344.02,267 Main St,Online,Delivered,TRK78967923,4,FREESHIP,Instagram,688.04,20-08-2023
ORD200042,"Monday, May 6, 2024",C28712,Printer,2,151.66,980 Main St,Cash,Cancelled,TRK40772558,6,NoCoupon,Instagram,303.32,06-05-2024
ORD200043,"Thursday, December 14, 2023",C60572,Chair,3,499.21,871 Main St,Online,Cancelled,TRK20351666,8,NoCoupon,Instagram,1497.63,14-12-2023
ORD200050,"Monday, July 31, 2023",C96494,Tablet,1,179.22,446 Main St,Online,Cancelled,TRK14675049,6,FREESHIP,Instagram,179.22,31-07-2023
ORD200057,"Sunday, January 22, 2023",C88036,Printer,5,314.27,842 Main St,Cash,Returned,TRK52470128,6,SAVE10,Instagram,1571.35,22-01-2023
ORD200065,"Saturday, December 30, 2023",C97735,Monitor,5,81.7,385 Main St,Credit Card,Delivered,TRK13743703,6,NoCoupon,Instagram,408.5,30-12-2023
ORD200078,"Tuesday, August 6, 2024",C32029,Printer,4,175.36,146 Main St,Debit Card,Delivered,TRK68535532,4,FREESHIP,Instagram,701.44,06-08-2024
ORD200084,"Monday, August 28, 2023",C64160,Monitor,2,165.49,967 Main St,Online,Shipped,TRK34121529,4,WINTER15,Instagram,330.98,28-08-2023
ORD200094,"Saturday, February 11, 2023",C79821,Chair,1,531.18,781 Main St,Gift Card,Returned,TRK12780193,6,WINTER15,Instagram,531.18,11-02-2023
ORD200096,"Saturday, June 1, 2024",C93007,Phone,2,232.83,103 Main St,Gift Card,Delivered,TRK85696091,7,NoCoupon,Instagram,465.66,01-06-2024
ORD200107,"Monday, March 27, 2023",C16775,Printer,5,670.75,848 Main St,Gift Card,Shipped,TRK34392124,8,FREESHIP,Instagram,3353.75,27-03-2023
ORD200113,"Wednesday, January 17, 2024",C65905,Laptop,5,190.08,605 Main St,Cash,Shipped,TRK73954365,9,FREESHIP,Instagram,950.4,17-01-2024
ORD200120,"Tuesday, April 11, 2023",C58108,Tablet,4,629.34,986 Main St,Cash,Cancelled,TRK66218053,4,WINTER15,Instagram,2517.36,11-04-2023
ORD200121,"Thursday, November 30, 2023",C89822,Desk,1,410.78,673 Main St,Cash,Cancelled,TRK24138598,1,FREESHIP,Instagram,410.78,30-11-2023
ORD200123,"Thursday, July 6, 2023",C86064,Desk,3,278.04,727 Main St,Online,Delivered,TRK62182901,5,NoCoupon,Instagram,834.12,06-07-2023
ORD200136,"Saturday, April 27, 2024",C73370,Laptop,1,44.35,595 Main St,Gift Card,Cancelled,TRK67820278,1,SAVE10,Instagram,44.35,27-04-2024
ORD200141,"Saturday, November 18, 2023",C80004,Printer,3,684.14,151 Main St,Cash,Cancelled,TRK66230753,3,WINTER15,Instagram,2052.42,18-11-2023
ORD200146,"Wednesday, April 30, 2025",C84645,Tablet,2,411.49,404 Main St,Credit Card,Returned,TRK68893369,4,NoCoupon,Instagram,822.98,30-04-2025
ORD200153,"Wednesday, December 18, 2024",C71570,Chair,4,534.48,437 Main St,Online,Returned,TRK95992269,9,WINTER15,Instagram,2137.92,18-12-2024
ORD200166,"Tuesday, March 4, 2025",C28889,Chair,3,86.29,565 Main St,Cash,Delivered,TRK23791726,6,WINTER15,Instagram,258.87,04-03-2025
ORD200170,"Friday, April 4, 2025",C80223,Desk,4,662.94,535 Main St,Cash,Cancelled,TRK68632951,8,SAVE10,Instagram,2651.76,04-04-2025
ORD200171,"Tuesday, August 15, 2023",C20448,Tablet,2,148.22,336 Main St,Credit Card,Delivered,TRK67379895,7,WINTER15,Instagram,296.44,15-08-2023
ORD200203,"Tuesday, January 21, 2025",C99173,Printer,3,356.84,172 Main St,Online,Shipped,TRK89849342,5,SAVE10,Instagram,1070.52,21-01-2025
ORD200218,"Friday, April 28, 2023",C11665,Tablet,3,112.46,882 Main St,Gift Card,Shipped,TRK10993930,6,SAVE10,Instagram,337.38,28-04-2023
ORD200222,"Thursday, May 4, 2023",C43124,Chair,4,693.36,931 Main St,Online,Shipped,TRK17293348,8,NoCoupon,Instagram,2773.44,04-05-2023
ORD200226,"Friday, June 27, 2025",C31501,Desk,3,588.05,242 Main St,Gift Card,Delivered,TRK93063929,8,NoCoupon,Instagram,1764.15,27-06-2025
ORD200228,"Wednesday, May 17, 2023",C57867,Chair,4,385.92,579 Main St,Credit Card,Cancelled,TRK92055007,8,NoCoupon,Instagram,1543.68,17-05-2023
ORD200233,"Saturday, August 24, 2024",C30168,Phone,3,311.33,146 Main St,Cash,Cancelled,TRK73699939,3,WINTER15,Instagram,933.99,24-08-2024
ORD200246,"Friday, August 30, 2024",C55354,Desk,2,342.11,164 Main St,Gift Card,Shipped,TRK15439493,2,WINTER15,Instagram,684.22,30-08-2024
ORD200253,"Saturday, March 23, 2024",C14891,Chair,4,413.74,743 Main St,Gift Card,Returned,TRK79471534,7,FREESHIP,Instagram,1654.96,23-03-2024
ORD200254,"Tuesday, December 26, 2023",C10866,Monitor,3,263.19,770 Main St,Online,Delivered,TRK34809583,5,NoCoupon,Instagram,789.57,26-12-2023
ORD200256,"Monday, June 30, 2025",C94323,Chair,5,75.81,463 Main St,Gift Card,Returned,TRK22663277,10,WINTER15,Instagram,379.05,30-06-2025
ORD200259,"Sunday, June 11, 2023",C20977,Chair,4,435.12,636 Main St,Credit Card,Delivered,TRK54991561,9,SAVE10,Instagram,1740.48,11-06-2023
ORD200276,"Saturday, March 29, 2025",C99050,Printer,2,600.57,654 Main St,Debit Card,Returned,TRK56927089,3,WINTER15,Instagram,1201.14,29-03-2025
ORD200278,"Monday, November 18, 2024",C46015,Laptop,5,362.46,299 Main St,Cash,Delivered,TRK46598430,6,FREESHIP,Instagram,1812.3,18-11-2024
ORD200280,"Monday, March 27, 2023",C55388,Tablet,3,404.62,740 Main St,Gift Card,Delivered,TRK75741001,6,FREESHIP,Instagram,1213.86,27-03-2023
ORD200293,"Thursday, February 16, 2023",C33220,Tablet,4,463.04,564 Main St,Gift Card,Returned,TRK40450219,9,NoCoupon,Instagram,1852.16,16-02-2023
ORD200297,"Wednesday, February 22, 2023",C68078,Desk,2,493.88,252 Main St,Credit Card,Returned,TRK64862812,7,SAVE10,Instagram,987.76,22-02-2023
ORD200299,"Saturday, January 20, 2024",C30711,Monitor,1,278.66,856 Main St,Gift Card,Cancelled,TRK42696593,2,FREESHIP,Instagram,278.66,20-01-2024
ORD200304,"Friday, October 18, 2024",C86762,Monitor,5,408.73,326 Main St,Gift Card,Delivered,TRK75686292,10,FREESHIP,Instagram,2043.65,18-10-2024
ORD200306,"Friday, June 7, 2024",C70495,Printer,2,57.07,238 Main St,Debit Card,Returned,TRK65511225,3,SAVE10,Instagram,114.14,07-06-2024
ORD200308,"Monday, December 11, 2023",C75888,Printer,3,448.9,790 Main St,Debit Card,Returned,TRK98467398,7,SAVE10,Instagram,1346.7,11-12-2023
ORD200311,"Saturday, May 17, 2025",C71698,Desk,5,489.37,274 Main St,Online,Returned,TRK34786818,8,NoCoupon,Instagram,2446.85,17-05-2025
ORD200313,"Sunday, July 9, 2023",C67687,Chair,2,434.3,978 Main St,Cash,Delivered,TRK22838735,7,SAVE10,Instagram,868.6,09-07-2023
ORD200317,"Monday, April 10, 2023",C88370,Monitor,2,139.95,339 Main St,Online,Returned,TRK22575151,5,NoCoupon,Instagram,279.9,10-04-2023
ORD200319,"Saturday, December 2, 2023",C53049,Laptop,2,563.06,413 Main St,Cash,Returned,TRK48974907,6,NoCoupon,Instagram,1126.12,02-12-2023
ORD200333,"Tuesday, April 16, 2024",C87124,Phone,1,198.51,818 Main St,Credit Card,Returned,TRK52086740,5,WINTER15,Instagram,198.51,16-04-2024
ORD200344,"Thursday, March 6, 2025",C95623,Tablet,3,623.34,248 Main St,Online,Cancelled,TRK67558189,3,SAVE10,Instagram,1870.02,06-03-2025
ORD200350,"Saturday, June 3, 2023",C13296,Chair,2,54.41,495 Main St,Online,Shipped,TRK60127216,6,NoCoupon,Instagram,108.82,03-06-2023
ORD200351,"Saturday, February 15, 2025",C94248,Laptop,1,64.66,494 Main St,Debit Card,Delivered,TRK89406816,4,NoCoupon,Instagram,64.66,15-02-2025
ORD200354,"Tuesday, July 11, 2023",C31772,Phone,1,693.41,992 Main St,Debit Card,Shipped,TRK11970357,4,NoCoupon,Instagram,693.41,11-07-2023
ORD200356,"Saturday, May 6, 2023",C26966,Printer,5,374.58,907 Main St,Gift Card,Cancelled,TRK83889574,10,FREESHIP,Instagram,1872.9,06-05-2023
ORD200357,"Saturday, July 8, 2023",C74982,Laptop,5,408.56,398 Main St,Debit Card,Delivered,TRK98700702,8,FREESHIP,Instagram,2042.8,08-07-2023
ORD200362,"Tuesday, June 27, 2023",C53697,Monitor,4,206.84,312 Main St,Cash,Cancelled,TRK60476656,5,WINTER15,Instagram,827.36,27-06-2023
ORD200381,"Wednesday, June 7, 2023",C29467,Chair,1,191.76,223 Main St,Credit Card,Returned,TRK98103385,1,FREESHIP,Instagram,191.76,07-06-2023
ORD200398,"Wednesday, September 4, 2024",C50275,Phone,5,53.93,729 Main St,Gift Card,Shipped,TRK98925264,7,SAVE10,Instagram,269.65,04-09-2024
ORD200400,"Saturday, September 28, 2024",C56266,Desk,4,160.22,304 Main St,Debit Card,Returned,TRK60088901,9,WINTER15,Instagram,640.88,28-09-2024
ORD200404,"Thursday, March 9, 2023",C45482,Monitor,2,99.1,440 Main St,Cash,Delivered,TRK54571699,6,NoCoupon,Instagram,198.2,09-03-2023
ORD200407,"Sunday, August 13, 2023",C85993,Tablet,4,547.32,250 Main St,Cash,Returned,TRK72547640,8,FREESHIP,Instagram,2189.28,13-08-2023
ORD200420,"Friday, November 29, 2024",C11921,Phone,1,452.7,439 Main St,Debit Card,Shipped,TRK91362635,5,FREESHIP,Instagram,452.7,29-11-2024
ORD200435,"Saturday, May 27, 2023",C48601,Printer,1,414.47,101 Main St,Debit Card,Returned,TRK97868309,3,FREESHIP,Instagram,414.47,27-05-2023
ORD200437,"Thursday, April 18, 2024",C63378,Phone,1,512.39,955 Main St,Online,Delivered,TRK20863705,2,FREESHIP,Instagram,512.39,18-04-2024
ORD200444,"Saturday, June 8, 2024",C79508,Printer,1,135.17,585 Main St,Online,Shipped,TRK61882353,6,FREESHIP,Instagram,135.17,08-06-2024
ORD200446,"Wednesday, October 18, 2023",C89592,Laptop,5,509.58,262 Main St,Online,Delivered,TRK49442402,6,FREESHIP,Instagram,2547.9,18-10-2023
ORD200450,"Monday, January 15, 2024",C36408,Monitor,5,615.1,160 Main St,Gift Card,Returned,TRK94023253,10,WINTER15,Instagram,3075.5,15-01-2024
ORD200457,"Sunday, May 25, 2025",C50236,Desk,4,615.83,545 Main St,Online,Returned,TRK67692578,4,WINTER15,Instagram,2463.32,25-05-2025
ORD200459,"Wednesday, July 24, 2024",C90142,Desk,1,334.39,433 Main St,Credit Card,Returned,TRK39717191,2,NoCoupon,Instagram,334.39,24-07-2024
ORD200463,"Friday, May 26, 2023",C25276,Laptop,5,662.78,214 Main St,Debit Card,Shipped,TRK14011732,9,SAVE10,Instagram,3313.9,26-05-2023
ORD200485,"Tuesday, August 1, 2023",C46651,Chair,3,404.79,764 Main St,Cash,Shipped,TRK67679195,6,SAVE10,Instagram,1214.37,01-08-2023
ORD200492,"Wednesday, October 25, 2023",C39074,Laptop,5,606.52,103 Main St,Debit Card,Shipped,TRK13027036,6,SAVE10,Instagram,3032.6,25-10-2023
ORD200498,"Wednesday, July 12, 2023",C73961,Tablet,4,132.56,306 Main St,Cash,Returned,TRK32607173,8,WINTER15,Instagram,530.24,12-07-2023
ORD200504,"Wednesday, June 11, 2025",C11676,Monitor,2,464.5,805 Main St,Online,Cancelled,TRK35726395,2,WINTER15,Instagram,929,11-06-2025
ORD200506,"Tuesday, July 25, 2023",C23279,Monitor,2,43.67,696 Main St,Cash,Returned,TRK58039693,4,WINTER15,Instagram,87.34,25-07-2023
ORD200514,"Sunday, April 16, 2023",C15629,Printer,3,304.15,492 Main St,Gift Card,Shipped,TRK64926044,3,WINTER15,Instagram,912.45,16-04-2023
ORD200545,"Tuesday, December 19, 2023",C74138,Monitor,2,98.47,964 Main St,Cash,Returned,TRK74091695,3,NoCoupon,Instagram,196.94,19-12-2023
ORD200546,"Friday, March 1, 2024",C82399,Monitor,1,158.68,928 Main St,Credit Card,Returned,TRK77177284,6,WINTER15,Instagram,158.68,01-03-2024
ORD200548,"Friday, January 5, 2024",C17103,Printer,3,426.12,922 Main St,Online,Delivered,TRK64398650,5,WINTER15,Instagram,1278.36,05-01-2024
ORD200549,"Tuesday, February 25, 2025",C34266,Monitor,4,629.88,550 Main St,Debit Card,Cancelled,TRK56378197,8,WINTER15,Instagram,2519.52,25-02-2025
ORD200554,"Friday, May 30, 2025",C61943,Laptop,2,492.9,610 Main St,Cash,Returned,TRK66126496,5,FREESHIP,Instagram,985.8,30-05-2025
ORD200558,"Tuesday, July 16, 2024",C76766,Phone,4,628.12,485 Main St,Online,Delivered,TRK32052962,6,WINTER15,Instagram,2512.48,16-07-2024
ORD200569,"Saturday, March 22, 2025",C25783,Desk,5,250.68,672 Main St,Cash,Shipped,TRK13289741,8,SAVE10,Instagram,1253.4,22-03-2025
ORD200573,"Wednesday, January 25, 2023",C13205,Chair,5,421.42,522 Main St,Debit Card,Cancelled,TRK30686578,7,NoCoupon,Instagram,2107.1,25-01-2023
ORD200578,"Thursday, October 10, 2024",C50415,Monitor,5,566.07,587 Main St,Credit Card,Delivered,TRK41345634,6,SAVE10,Instagram,2830.35,10-10-2024
ORD200580,"Tuesday, November 14, 2023",C71076,Monitor,2,255.99,340 Main St,Credit Card,Delivered,TRK65148292,4,SAVE10,Instagram,511.98,14-11-2023
ORD200583,"Sunday, June 15, 2025",C27072,Chair,3,154.37,996 Main St,Gift Card,Delivered,TRK29750379,4,NoCoupon,Instagram,463.11,15-06-2025
ORD200587,"Monday, June 12, 2023",C18820,Monitor,5,514.6,347 Main St,Gift Card,Delivered,TRK91547425,10,FREESHIP,Instagram,2573,12-06-2023
ORD200608,"Wednesday, July 24, 2024",C32956,Laptop,5,543.16,788 Main St,Online,Cancelled,TRK73140103,6,SAVE10,Instagram,2715.8,24-07-2024
ORD200618,"Tuesday, September 3, 2024",C50565,Tablet,1,411.34,399 Main St,Debit Card,Returned,TRK97981418,5,NoCoupon,Instagram,411.34,03-09-2024
ORD200623,"Friday, June 16, 2023",C91941,Printer,3,396,269 Main St,Gift Card,Cancelled,TRK21330732,4,FREESHIP,Instagram,1188,16-06-2023
ORD200630,"Friday, June 23, 2023",C51481,Monitor,5,248.84,140 Main St,Debit Card,Cancelled,TRK33437701,10,NoCoupon,Instagram,1244.2,23-06-2023
ORD200633,"Wednesday, April 10, 2024",C79533,Laptop,5,601.72,921 Main St,Gift Card,Cancelled,TRK54711422,5,WINTER15,Instagram,3008.6,10-04-2024
ORD200652,"Wednesday, June 5, 2024",C71473,Chair,5,341.84,328 Main St,Online,Shipped,TRK94857335,8,FREESHIP,Instagram,1709.2,05-06-2024
ORD200654,"Monday, June 12, 2023",C62661,Tablet,3,382.37,863 Main St,Debit Card,Returned,TRK25748100,8,NoCoupon,Instagram,1147.11,12-06-2023
ORD200657,"Sunday, December 24, 2023",C19384,Tablet,4,87.79,532 Main St,Cash,Cancelled,TRK33207064,6,FREESHIP,Instagram,351.16,24-12-2023
ORD200663,"Monday, April 15, 2024",C59774,Monitor,1,72.6,941 Main St,Debit Card,Cancelled,TRK87635135,6,FREESHIP,Instagram,72.6,15-04-2024
ORD200672,"Tuesday, May 9, 2023",C14017,Phone,2,624.16,984 Main St,Debit Card,Shipped,TRK71009446,2,SAVE10,Instagram,1248.32,09-05-2023
